"","orig","des_old","des_new"
"Q47V79","RND efflux system, outer membrane lipoprotein, NodT family ","RND efflux system, outer membrane lipoprotein, NodT family ","RND efflux system, outer membrane lipoprotein, NodT family "
"Q47V81","Protease II ","Protease II ","Protease II "
"Q47V82","Uncharacterized protein ","Uncharacterized protein ","DUF1285 domain-containing protein "
"Q47V83","Adenylyltransferase ThiF ","Adenylyltransferase ThiF ","Adenylyltransferase ThiF "
"Q47V84","ABC-type molybdate transporter ","ABC-type molybdate transporter ","Molybdenum ABC transporter, ATP-binding protein "
"Q47V87","Molybdopterin converting factor, subunit 2 ","Molybdopterin converting factor, subunit 2 ","Molybdopterin synthase catalytic subunit "
"Q47V89","Cyclic pyranopterin monophosphate synthase ","Cyclic pyranopterin monophosphate synthase ","Cyclic pyranopterin monophosphate synthase "
"Q47V90","Molybdenum cofactor biosynthesis protein B ","Molybdenum cofactor biosynthesis protein B ","Molybdenum cofactor biosynthesis protein B "
"Q47V92","Molybdenum cofactor biosynthesis protein A ","Molybdenum cofactor biosynthesis protein A ","GTP 3',8-cyclase "
"Q47V93","Molybdopterin molybdenumtransferase ","Molybdopterin molybdenumtransferase ","Molybdopterin molybdenumtransferase "
"Q47V96","Glutamate-1-semialdehyde 2,1-aminomutase ","Glutamate-1-semialdehyde 2,1-aminomutase ","Glutamate-1-semialdehyde 2,1-aminomutase "
"Q47V97","Aspartate carbamoyltransferase ","Aspartate carbamoyltransferase ","aspartate carbamoyltransferase "
"Q47VA0","Putative membrane protein ","Putative membrane protein ","Protoporphyrinogen IX oxidase "
"Q47VA3","Iron-sulfur cluster insertion protein ErpA ","Iron-sulfur cluster insertion protein ErpA ","Iron-sulfur cluster insertion protein ErpA "
"Q47VA4","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit "
"Q47VA5","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q47VA6","HD domain protein ","HD domain protein ","HD domain protein "
"Q47VA7","Sodium-type flagellar protein MotX ","Sodium-type flagellar protein MotX ","Sodium-type flagellar protein MotX "
"Q47VA8","Ribonuclease R ","Ribonuclease R ","Ribonuclease R "
"Q47VA9","23S rRNA (guanosine-2_-O-)-methyltransferase RlmB ","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB ","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB "
"Q47VB0","Uncharacterized protein ","Uncharacterized protein ","DUF945 domain-containing protein "
"Q47VB1","Fructose-1,6-bisphosphatase class 1 ","Fructose-1,6-bisphosphatase class 1 ","Fructose-1,6-bisphosphatase class 1 "
"Q47VB3","Aminotransferase/transcriptional regulator, GntR family ","Aminotransferase/transcriptional regulator, GntR family ","Aminotransferase/transcriptional regulator, GntR family "
"Q47VB5","Glyoxalase ","Glyoxalase ","Glyoxalase "
"Q47VB6","Beta-hexosaminidase ","Beta-hexosaminidase ","beta-N-acetylhexosaminidase "
"Q47VB7","Putative membrane protein ","Putative membrane protein ","Putative membrane protein "
"Q47VB9","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q47VC0","Glyoxalase family protein ","Glyoxalase family protein ","Glyoxalase family protein "
"Q47VC1","Uncharacterized protein ","Uncharacterized protein ","DUF748 domain-containing protein "
"Q47VC2","Mechanosensitive ion channel family protein ","Mechanosensitive ion channel family protein ","Small-conductance mechanosensitive channel "
"Q47VC3","Uncharacterized protein ","Uncharacterized protein ","Porin domain-containing protein "
"Q47VC5","Uncharacterized protein ","Uncharacterized protein ","PepSY-associated TM helix domain protein "
"Q47VC7","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47VC8","Transcriptional regulatory protein OmpR ","Transcriptional regulatory protein OmpR ","Transcriptional regulatory protein OmpR "
"Q47VC9","Osmolarity sensor protein EnvZ ","Osmolarity sensor protein EnvZ ","histidine kinase "
"Q47VD0","Phosphoenolpyruvate carboxykinase (ATP) ","Phosphoenolpyruvate carboxykinase (ATP) ","Phosphoenolpyruvate carboxykinase (ATP) "
"Q47VD1","33 kDa chaperonin ","33 kDa chaperonin ","33 kDa chaperonin "
"Q47VD2","Heat shock protein 15 ","Heat shock protein 15 ","Heat shock protein 15 "
"Q47VD3","General secretion pathway protein C ","General secretion pathway protein C ","General secretion pathway protein C "
"Q47VD4","General secretion pathway protein D ","General secretion pathway protein D ","General secretion pathway protein D "
"Q47VD5","General secretion pathway protein E ","General secretion pathway protein E ","Type II secretion system protein E "
"Q47VD6","General secretion pathway protein F ","General secretion pathway protein F ","General secretion pathway protein F "
"Q47VD7","General secretion pathway protein G ","General secretion pathway protein G ","Type II secretion system core protein G "
"Q47VD8","General secretion pathway protein H ","General secretion pathway protein H ","General secretion pathway protein H "
"Q47VE2","Type II secretion system protein L ","Type II secretion system protein L ","Type II secretion system protein L "
"Q47VE3","Type II secretion system protein M ","Type II secretion system protein M ","Type II secretion system protein M "
"Q47VE4","General secretion pathway protein N ","General secretion pathway protein N ","Type II secretion system protein N "
"Q47VE6","Uncharacterized protein ","Uncharacterized protein ","MSHA biogenesis protein MshJ "
"Q47VE8","MSHA biogenesis protein MshL ","MSHA biogenesis protein MshL ","MSHA biogenesis protein MshL "
"Q47VF0","Putative MSHA biogenesis protein MshN ","Putative MSHA biogenesis protein MshN ","Putative MSHA biogenesis protein MshN "
"Q47VF1","MSHA biogenesis protein MshE ","MSHA biogenesis protein MshE ","MSHA biogenesis protein MshE "
"Q47VF2","MSHA biogenesis protein MshG ","MSHA biogenesis protein MshG ","MSHA biogenesis protein MshG "
"Q47VF3","Uncharacterized protein ","Uncharacterized protein ","MSHA biogenesis protein MshF "
"Q47VF4","MSHA pilin protein MshB ","MSHA pilin protein MshB ","MSHA pilin protein MshB "
"Q47VF5","MSHA pilin protein MshA ","MSHA pilin protein MshA ","MSHA pilin protein MshA "
"Q47VF6","MSHA pilin protein MshC ","MSHA pilin protein MshC ","MSHA pilin protein MshC "
"Q47VF7","MSHA pilin protein MshD ","MSHA pilin protein MshD ","MSHA pilin protein MshD "
"Q47VG1","Putative MSHA biogenesis protein MshP ","Putative MSHA biogenesis protein MshP ","Putative MSHA biogenesis protein MshP "
"Q47VG2","Uncharacterized protein ","Uncharacterized protein ","LamG-like jellyroll fold domain-containing protein "
"Q47VG3","Rod shape-determining protein MreB ","Rod shape-determining protein MreB ","Cell shape-determining protein MreB "
"Q47VG5","Cell shape-determining protein MreC ","Cell shape-determining protein MreC ","Cell shape-determining protein MreC "
"Q47VG7","dTTP/UTP pyrophosphatase ","dTTP/UTP pyrophosphatase ","dTTP/UTP pyrophosphatase "
"Q47VG8","Ribonuclease G ","Ribonuclease G ","Ribonuclease G "
"Q47VG9","Putative protease ","Putative protease ","Putative protease "
"Q47VH0","Hydrolase, carbon-nitrogen family ","Hydrolase, carbon-nitrogen family ","Hydrolase, carbon-nitrogen family "
"Q47VH1","TldD protein ","TldD protein ","TldD protein "
"Q47VH2","Uncharacterized protein ","Uncharacterized protein ","DUF615 domain-containing protein "
"Q47VH3","PmbA protein ","PmbA protein ","PmbA protein "
"Q47VH5","Magnesium transporter MgtE ","Magnesium transporter MgtE ","Magnesium transporter MgtE "
"Q47VH7","Phosphocarrier protein NPr ","Phosphocarrier protein NPr ","Phosphocarrier protein NPr "
"Q47VH8","Nucleotide-binding protein CPS_4546 ","Nucleotide-binding protein CPS_4546 ","Nucleotide-binding protein CPS_4546 "
"Q47VH9","PTS system, nitrogen regulatory IIA component ","PTS system, nitrogen regulatory IIA component ","PTS system, nitrogen regulatory IIA component "
"Q47VI0","Ribosomal subunit interface protein ","Ribosomal subunit interface protein ","Ribosome hibernation promoting factor "
"Q47VI1","RNA polymerase sigma-54 factor ","RNA polymerase sigma-54 factor ","RNA polymerase sigma-54 factor "
"Q47VI2","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","Lipopolysaccharide export system ATP-binding protein LptB "
"Q47VI3","Lipopolysaccharide export system protein LptA ","Lipopolysaccharide export system protein LptA ","Lipopolysaccharide export system protein LptA "
"Q47VI4","Lipopolysaccharide export system protein LptC ","Lipopolysaccharide export system protein LptC ","Lipopolysaccharide export system protein LptC "
"Q47VI5","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC ","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC ","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC "
"Q47VI6","Arabinose 5-phosphate isomerase ","Arabinose 5-phosphate isomerase ","Arabinose 5-phosphate isomerase "
"Q47VI8","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q47VI9","Putative membrane protein ","Putative membrane protein ","Intermembrane phospholipid transport system permease protein MlaE "
"Q47VJ0","Mce family protein ","Mce family protein ","Mce family protein "
"Q47VJ1","Toluene tolerance family protein ","Toluene tolerance family protein ","Toluene tolerance family protein "
"Q47VJ2","STAS domain protein ","STAS domain protein ","STAS domain protein "
"Q47VJ3","BolA/YrbA family protein ","BolA/YrbA family protein ","BolA/YrbA family protein "
"Q47VJ4","UDP-N-acetylglucosamine 1-carboxyvinyltransferase ","UDP-N-acetylglucosamine 1-carboxyvinyltransferase ","UDP-N-acetylglucosamine 1-carboxyvinyltransferase "
"Q47VJ5","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein "
"Q47VJ6","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q47VJ7","Bis(5_-nucleosyl)-tetraphosphatase, symmetrical ","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical ","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical "
"Q47VJ8","Ribosomal RNA small subunit methyltransferase A ","Ribosomal RNA small subunit methyltransferase A ","Ribosomal RNA small subunit methyltransferase A "
"Q47VJ9","4-hydroxythreonine-4-phosphate dehydrogenase ","4-hydroxythreonine-4-phosphate dehydrogenase ","4-hydroxythreonine-4-phosphate dehydrogenase "
"Q47VK0","Chaperone SurA ","Chaperone SurA ","Chaperone SurA "
"Q47VK1","LPS-assembly protein LptD ","LPS-assembly protein LptD ","LPS-assembly protein LptD "
"Q47VK2","Co-chaperone protein DjlA ","Co-chaperone protein DjlA ","Co-chaperone protein DjlA "
"Q47VK4","Ribosomal large subunit pseudouridine synthase A ","Ribosomal large subunit pseudouridine synthase A ","Dual-specificity RNA pseudouridine synthase RluA "
"Q47VK5","RNA polymerase-associated protein RapA ","RNA polymerase-associated protein RapA ","RNA polymerase-associated protein RapA "
"Q47VK6","PhoH family protein ","PhoH family protein ","PhoH family protein "
"Q47VK8","Histidine kinase ","Histidine kinase ","histidine kinase "
"Q47VK9","Arginine repressor ","Arginine repressor ","Arginine repressor "
"Q47VL0","Malate dehydrogenase ","Malate dehydrogenase ","Malate dehydrogenase "
"Q47VL1","Octaprenyl-diphosphate synthase ","Octaprenyl-diphosphate synthase ","Octaprenyl-diphosphate synthase "
"Q47VL2","50S ribosomal protein L21 ","50S ribosomal protein L21 ","Large ribosomal subunit protein bL21 "
"Q47VL3","50S ribosomal protein L27 ","50S ribosomal protein L27 ","Large ribosomal subunit protein bL27 "
"Q47VL4","GTPase Obg ","GTPase Obg ","GTPase Obg "
"Q47VL9","Dihydrofolate reductase ","Dihydrofolate reductase ","Dihydrofolate reductase "
"Q47VM0","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q47VM2","Glutamate synthase, small subunit ","Glutamate synthase, small subunit ","Glutamate synthase, small subunit "
"Q47VM3","Glutamate synthase, large subunit ","Glutamate synthase, large subunit ","Glutamate synthase, large subunit "
"Q47VM6","GTP cyclohydrolase FolE2 ","GTP cyclohydrolase FolE2 ","GTP cyclohydrolase FolE2 "
"Q47VM7","Histidine-containing phosphotransfer (HPt) domain protein ","Histidine-containing phosphotransfer (HPt) domain protein ","Histidine-containing phosphotransfer (HPt) domain protein "
"Q47VM8","Aerobic respiration control protein ArcA ","Aerobic respiration control protein ArcA ","Aerobic respiration control protein ArcA "
"Q47VM9","Sensory box sensor histidine kinase ","Sensory box sensor histidine kinase ","histidine kinase "
"Q47VN0","Ribosomal RNA small subunit methyltransferase C ","Ribosomal RNA small subunit methyltransferase C ","Ribosomal RNA small subunit methyltransferase C "
"Q47VN1","Acetyltransferase, CysE/LacA/LpxA/NodL family ","Acetyltransferase, CysE/LacA/LpxA/NodL family ","Acetyltransferase, CysE/LacA/LpxA/NodL family "
"Q47VN2","Putative pyridoxal-dependent decarboxylase ","Putative pyridoxal-dependent decarboxylase ","Putative pyridoxal-dependent decarboxylase "
"Q47VN3","Uncharacterized protein ","Uncharacterized protein ","Succinylglutamate desuccinylase/aspartoacylase "
"Q47VN6","TonB-dependent receptor ","TonB-dependent receptor ","TonB-dependent receptor "
"Q47VN7","Uncharacterized protein ","Uncharacterized protein ","S1 motif domain-containing protein "
"Q47VP0","Efflux transporter, RND family, MFP subunit subfamily ","Efflux transporter, RND family, MFP subunit subfamily ","Efflux transporter, RND family, MFP subunit subfamily "
"Q47VP1","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q47VP2","Bax domain protein ","Bax domain protein ","Bax domain protein "
"Q47VP3","Sensor histidine kinase/response regulator ","Sensor histidine kinase/response regulator ","histidine kinase "
"Q47VP4","Uncharacterized protein ","Uncharacterized protein ","Surface antigen domain-containing protein "
"Q47VP5","Putative melanin biosynthesis protein TyrA ","Putative melanin biosynthesis protein TyrA ","Putative melanin biosynthesis protein TyrA "
"Q47VP6","Uncharacterized protein ","Uncharacterized protein ","Transglutaminase domain-containing protein "
"Q47VP8","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein ","Acyl-CoA dehydrogenase family protein "
"Q47VQ0","Transcriptional regulator MraZ ","Transcriptional regulator MraZ ","Transcriptional regulator MraZ "
"Q47VQ1","Ribosomal RNA small subunit methyltransferase H ","Ribosomal RNA small subunit methyltransferase H ","Ribosomal RNA small subunit methyltransferase H "
"Q47VQ4","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase "
"Q47VQ5","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase "
